Data used in the analysis.  Please note that blank fields indicate that data were not provided in the original publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,marine,,adult,,,,,enzymes: U/g tissue; metabolic rate = MR: umol/g/h; locomotion: BL/s,,,,,,acclimatization temps for terrestrial or large animals = mean body temperatures,,variation as s.e.,,,,,,,,,,,,,,,,,,,,,,
Chordata,Reptilia ,Squamata,Phrynosomatidae,Urosaurus,ornatus,Urosaurus ornatus,0.004180000,4.180000000,0.621176282,in situ,http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2435.2000.00427.x/full,t,w,a,"Maricopa Country, AZ",33.3,33.3,-111.83333,1,30,1.477121255,MR,rest,5,35,0.075,0.001,10,0.18,0.0015,10,0.62,0.0005,10,0.175,0.002,10,1.3388659,1.326352403,0.326352403,-0.484984467,0.484984467,10,0.002,,ml/g/h,,"Payne, J. C. and R. E. Gatten (1988). ""THERMAL-ACCLIMATION OF ACTIVITY METABOLISM IN DESERT LIZARDS (UROSAURUS-GRACIOSUS AND UROSAURUS-ORNATUS)."" Journal of Thermal Biology 13(1): 37-42.",Complete
Chordata,Reptilia ,Squamata,Teiidae,Cnemidophorus,sexlineatus,Cnemidophorus sexlineatus,0.004000000,4.000000000,0.602059991,in situ,http://www.jstor.org/stable/3892279?seq=1#page_scan_tab_contents,t,w,a,Alabama,32.7,32.7,-86.7,1,14,1.146128036,MR,rest,10,30,0.029,0.002,10,0.37,0.029,10,0.031,0.002,10,0.27,0.021,10,3.571921148,3.051285766,2.051285766,0.312237833,-0.312237833,10,0.017,,ml/g.8/h,,"Ragland, I. M., et al. (1981). ""TEMPERATURE-ACCLIMATION IN THE LIZARDS CNEMIDOPHORUS-SEXLINEATUS AND ANOLIS-CAROLINENSIS."" Comparative Biochemistry and Physiology a-Physiology 70(1): 33-36.",Complete
Chordata,Reptilia ,Squamata,Polychrotidae,Anolis ,carolinensis ,Anolis  carolinensis ,0.003970000,3.970000000,0.598790507,in situ,http://www.jstor.org/stable/1444335?seq=1#page_scan_tab_contents,t,w,a,Alabama,32.7,32.7,-86.7,1,14,1.146128036,MR,rest,10,30,0.052,0.003,10,0.494,0.036,10,0.037,0.006,10,0.434,0.023,10,3.082207001,2.88897107,1.88897107,0.276455157,-0.276455157,10,0.021,,ml/g.8/h,,"Ragland, I. M., et al. (1981). ""TEMPERATURE-ACCLIMATION IN THE LIZARDS CNEMIDOPHORUS-SEXLINEATUS AND ANOLIS-CAROLINENSIS."" Comparative Biochemistry and Physiology a-Physiology 70(1): 33-36.",Complete
Chordata,Reptilia ,Squamata,Scincidae,Lacerta,vivipara,Lacerta vivipara,0.003500000,3.500000000,0.544068044,in situ,http://www.jstor.org/stable/2389633?seq=1#page_scan_tab_contents,t,w,j,"New Forest, England",50.879,50.879,-1.633,1,16,1.204119983,MR,rest,10,30,0.1237,0.0176,8,0.455,0.0131,10,0.0687,0.0045,5,0.3126,0.0292,5,1.917877431,1.589679732,0.589679732,-0.228647931,0.228647931,7.666666667,0.020,,ml/g/h,,"Alsadoon, M. K. and I. F. Spellerberg (1985). ""COMPARISON OF THERMAL-ACCLIMATION EFFECTS ON THE METABOLISM OF CHALCIDES-OCELLATUS (DESERT LIZARD) AND LACERTA-VIVIPARA (COOL-TEMPERATE LIZARD)."" Comparative Biochemistry and Physiology a-Physiology 81(4): 939-943.",Complete
Chordata,Reptilia ,Squamata,Lacertidae,Lacerta,vivipara,Lacerta vivipara,0.003500000,3.500000000,0.544068044,in situ,http://www.jstor.org/stable/2389633?seq=1#page_scan_tab_contents,t,w,a,"New Forest, England",50.879,50.879,-1.633,1,15,1.176091259,MR,rest,10,30,0.0851,0.0062,10,0.3241,0.0173,10,0.054,0.0035,10,0.2237,0.0107,10,1.951527769,1.621318029,0.621318029,-0.205987617,0.205987617,10,0.011,,ml/g/h,,"Alsadoon, M. K. and I. F. Spellerberg (1985). ""COMPARISON OF THERMAL-ACCLIMATION EFFECTS ON THE METABOLISM OF CHALCIDES-OCELLATUS (DESERT LIZARD) AND LACERTA-VIVIPARA (COOL-TEMPERATE LIZARD)."" Comparative Biochemistry and Physiology a-Physiology 81(4): 939-943.",Complete
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus moluccensis,0.003340000,3.340000000,0.523746467,in situ,"Nilsson et al 2010 Comp Biochem Physiol A 156, 389-393",m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,22,1.342422681,MR,rest,29,32,0.283,0.056,12,0.398,0.085,12,,,,0.35,0.06,9,3.116416214,2.030511076,1.030511076,0.013473896,-0.013473896,11,0.067,,,,"Nilsson et al 2010 Comp Biochem Physiol A 156, 389-394",Complete
Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,Notophthalmus viridescens,0.003086667,3.086666667,0.489489732,in situ,"Berner and Puckett 2010 J. Exp. Zool. 313A, 231-239",f,c,a,"Nashville, Te, USA",36.2,36.2,86.75,1,84,1.924279286,MR,SMR,8,26,2.723214286,0.267857143,10,6.205357143,0.267857143,10,1.473214286,0.267857143,10,4.642857143,0.3125,10,1.580206593,1.345005837,0.345005837,-0.460916575,0.460916575,10,0.283,,light conditions were also changed,,"Berner and Puckett 2010 J. Exp. Zool. 313A, 231-239",Complete
Echinodermata,Echinioidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Strongylocentrotus purpuratus,0.003010000,3.010000000,0.478566496,in situ,http://www.jstor.org/stable/1934491?seq=1#page_scan_tab_contents,m,w,a,"Newport, Oregon",44.604444,44.604444,-124.054722,1,30,1.477121255,MR,rest,9,18,95,10,10,250,40,10,90,10,6,240,40,6,2.930266465,2.800325305,1.800325305,0.25559215,-0.25559215,8.666666667,30.000,,ul/g/h,dry mass,"Ulbricht, R. J. (1973). ""INFLUENCE OF TEMPERATURE ACCLIMATION UPON METABOLIC RATE OF PURPLE SEA-URCHIN, STRONGYLOCENTROTUS-PURPURATUS - ALTERNATE INTERPRETATIONS."" Comparative Biochemistry and Physiology 45(2A): 677-681.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,fuscus,Desmognathus fuscus,0.002070000,2.070000000,0.315970345,in situ,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,5,10,16.91,1.37,28,22.49,0.9,28,24.59,1.33,43,31.42,1.5,33,1.768852809,3.452432102,2.452432102,0.389774044,-0.389774044,29.66666667,1.257,,ul/g/h,,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,fuscus,Desmognathus fuscus,0.001920000,1.920000000,0.283301229,in situ,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,5,20,16.91,1.37,28,57.31,1.3,25,20.79,1.1,28,50.71,1.83,29,2.256270684,2.07953708,1.07953708,0.033639675,-0.033639675,27.33333333,1.500,,ul/g/h,,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,fuscus,Desmognathus fuscus,0.001896667,1.896666667,0.277991012,in situ,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,15,20,34.38,1.3,29,60.57,2.7,23,22.39,1.5,23,50.71,1.83,29,3.103869137,2.175582097,1.175582097,0.070622236,-0.070622236,27,1.943,,ul/g/h,,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,fuscus,Desmognathus fuscus,0.001700000,1.700000000,0.230448921,in situ,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,5,15,16.91,1.37,28,33.83,1.61,27,24.66,1.18,43,34.38,1.3,29,2.000591366,2.033116499,1.033116499,0.014569467,-0.014569467,28,1.427,,ul/g/h,,"Fitzpatr.Lc, et al. (1972). ""THERMAL ACCLIMATION AND METABOLIC RATES IN DUSKY SALAMANDER DESMOGNATHUS-FUSCUS."" Comparative Biochemistry and Physiology 41(1A): 89-&.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,Bolitoglossa subpalmata,0.001630000,1.630000000,0.212187604,in situ,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",t,w,a,"La Georgina, Costa Rica",9.566667,9.566667,-83.75,1,20,1.301029996,MR,rest,5,15,0.72,0.15,6,2.1,0.15,7,0.8,0.15,7,2.4,0.15,6,2.916666667,3.333333333,2.333333333,0.368162872,-0.368162872,6.333333333,0.150,,umol/h,,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,Bolitoglossa subpalmata,0.001630000,1.630000000,0.212187604,in situ,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",t,w,a,"La Georgina, Costa Rica",9.566667,9.566667,-83.75,1,20,1.301029996,MR,rest,15,20,2.4,0.15,6,2.9,0.15,7,2.4,0.15,4,3.2,0.15,7,1.460069444,1.777777778,0.777777778,-0.108586449,0.108586449,6.666666667,0.150,,umol/h,,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,Bolitoglossa subpalmata,0.001630000,1.630000000,0.212187604,in situ,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",t,w,a,"La Georgina, Costa Rica",9.566667,9.566667,-83.75,1,20,1.301029996,MR,rest,5,10,0.72,0.15,6,1.1,0.15,7,0.85,0.15,7,1.2,1,7,2.334104938,2.777777778,1.777777778,0.250121695,-0.250121695,6.666666667,0.433,,umol/h,,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,Bolitoglossa subpalmata,0.001630000,1.630000000,0.212187604,in situ,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",t,w,a,"La Georgina, Costa Rica",9.566667,9.566667,-83.75,1,20,1.301029996,MR,rest,10,15,1.2,1,7,2.2,0.15,6,1.6,0.15,7,2.4,0.15,6,3.361111111,4,3,0.477265995,-0.477265995,6.333333333,0.433,,umol/h,,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,Bolitoglossa subpalmata,0.001630000,1.630000000,0.212187604,in situ,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",t,w,a,"La Georgina, Costa Rica",9.566667,9.566667,-83.75,1,20,1.301029996,MR,rest,10,20,1.2,1,7,3.5,0.15,5,1.2,0.15,7,3.2,0.15,7,2.916666667,2.666666667,1.666666667,0.222109248,-0.222109248,6.333333333,0.433,,umol/h,,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,Bolitoglossa subpalmata,0.001630000,1.630000000,0.212187604,in situ,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",t,w,a,"La Georgina, Costa Rica",9.566667,9.566667,-83.75,1,20,1.301029996,MR,rest,5,20,0.72,0.15,6,3.2,0.15,7,0.8,0.15,7,3.2,0.15,7,2.703200887,2.703200887,1.703200887,0.231520787,-0.231520787,6.666666667,0.150,,umol/h,,"Feder, M. E. (1987). ""EFFECT OF THERMAL-ACCLIMATION ON LOCOMOTOR ENERGETICS AND LOCOMOTOR PERFORMANCE IN A TROPICAL SALAMANDER, BOLITOGLOSSA-SUBPALMATA."" Physiological Zoology 60(1): 18-26.",Complete
Arthropoda,Malacaostraca,Decapoda,Penaeidae,Fenneropanaeus,chinensis,Fenneropanaeus chinensis,0.001620000,1.620000000,0.209515015,in situ,"Tian et al 2004 J Exp Mar Biol Ecol 310, 59-72",m,w,j,"Qingdao, China",36.1,36.1,120.4,1,10,1,MR,rest,19,31,58,7,5,150,12,5,45,10,5,107,9,5,2.207425497,1.665826705,0.665826705,-0.175987016,0.175987016,5,9.333,,/g dry mass,,"Tian et al 2004 J Exp Mar Biol Ecol 310, 59-72",Complete
Chordata,Actinopterygii,Perciformes,Apoginidae,Ostorhinchus,doederleini,Ostorhinchus doederleini,0.001490000,1.490000000,0.173186268,in situ,"Nilsson et al 2010 Comp Biochem Physiol A 156, 389-393",m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,7,0.84509804,MR,rest,29,32,0.266,0.033,8,0.356,0.092,6,,,,0.455,0.1,6,2.641767164,5.985482978,4.985482978,0.697794341,-0.697794341,6.666666667,0.075,,,,"Nilsson et al 2010 Comp Biochem Physiol A 156, 389-393",Complete
Chordata,Amphibia,Anura,Hylidae,Pseudacris,triseriata,Pseudacris triseriata,0.001420000,1.420000000,0.152288344,in situ,http://www.jstor.org/stable/30155478?seq=1#page_scan_tab_contents,f,w,a,Vermillion,42.0781111,42.0781111,-96.926944,1,7,0.84509804,MR,rest,5,25,0.12,,6,0.35,,6,0.09,,6,0.23,,6,1.707825128,1.38443731,0.38443731,-0.414046248,0.414046248,6,,,ul/g/h,,"Dunlap, D. G. (1980). ""COMPARATIVE EFFECTS OF THERMAL-ACCLIMATION AND SEASON ON METABOLIC COMPENSATION TO TEMPERATURE IN THE HYLID FROGS, PSEUDACRIS-TRISERIATA AND ACRIS-CREPITANS."" Comparative Biochemistry and Physiology a-Physiology 66(2): 243-249.",Complete
Chordata,Amphibia,Anura,Hylidae,Pseudacris,triseriata,Pseudacris triseriata,0.001420000,1.420000000,0.152288344,in situ,http://www.jstor.org/stable/30155478?seq=1#page_scan_tab_contents,f,w,a,Vermillion,42.0781111,42.0781111,-96.926944,1,7,0.84509804,MR,rest,15,25,0.2,,6,0.32,,6,0.22,,6,0.23,,6,1.6,1.15,0.15,-0.821023053,0.821023053,6,,,ul/g/h,,"Dunlap, D. G. (1980). ""COMPARATIVE EFFECTS OF THERMAL-ACCLIMATION AND SEASON ON METABOLIC COMPENSATION TO TEMPERATURE IN THE HYLID FROGS, PSEUDACRIS-TRISERIATA AND ACRIS-CREPITANS."" Comparative Biochemistry and Physiology a-Physiology 66(2): 243-249.",Complete
Chordata,Amphibia,Anura,Hylidae,Pseudacris,triseriata,Pseudacris triseriata,0.001420000,1.420000000,0.152288344,in situ,http://www.jstor.org/stable/30155478?seq=1#page_scan_tab_contents,f,w,a,Vermillion,42.0781111,42.0781111,-96.926944,1,7,0.84509804,MR,rest,5,15,0.12,,6,0.21,,6,0.14,,6,0.2,,6,1.75,1.666666667,0.666666667,-0.175440305,0.175440305,6,,,ul/g/h,,"Dunlap, D. G. (1980). ""COMPARATIVE EFFECTS OF THERMAL-ACCLIMATION AND SEASON ON METABOLIC COMPENSATION TO TEMPERATURE IN THE HYLID FROGS, PSEUDACRIS-TRISERIATA AND ACRIS-CREPITANS."" Comparative Biochemistry and Physiology a-Physiology 66(2): 243-249.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Desmognathus ochrophaeus,0.001160000,1.160000000,0.064457989,in situ,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,5,15,16.19,1.34,41,44.49,1.2,44,23.98,1.2,45,35.96,1.4,43,2.747992588,2.221124151,1.221124151,0.087115326,-0.087115326,42.66666667,1.313,,ul/g/h,,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Desmognathus ochrophaeus,0.001110000,1.110000000,0.045322979,in situ,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,10,20,29.39,1.8,25,72.71,1.5,38,20.2,1.1,32,55.44,2,36,2.473970738,1.886355903,0.886355903,-0.051902157,0.051902157,33,1.767,,ul/g/h,,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",Complete
Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Acris crepitans,0.001100000,1.100000000,0.041392685,in situ,http://www.jstor.org/stable/30155478?seq=1#page_scan_tab_contents,f,w,a,Vermillion,42.0781111,42.0781111,-96.926944,1,7,0.84509804,MR,rest,5,15,0.04,,6,0.09,,6,0.05,,6,0.11,,6,2.25,2.75,1.75,0.243286146,-0.243286146,6,,,ul/g/h,,"Dunlap, D. G. (1980). ""COMPARATIVE EFFECTS OF THERMAL-ACCLIMATION AND SEASON ON METABOLIC COMPENSATION TO TEMPERATURE IN THE HYLID FROGS, PSEUDACRIS-TRISERIATA AND ACRIS-CREPITANS."" Comparative Biochemistry and Physiology a-Physiology 66(2): 243-249.",Complete
Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Acris crepitans,0.001100000,1.100000000,0.041392685,in situ,http://www.jstor.org/stable/30155478?seq=1#page_scan_tab_contents,f,w,a,Vermillion,42.0781111,42.0781111,-96.926944,1,7,0.84509804,MR,rest,15,25,0.05,,6,0.19,,6,0.14,,6,0.23,,6,3.8,4.6,3.6,0.556423121,-0.556423121,6,,,ul/g/h,,"Dunlap, D. G. (1980). ""COMPARATIVE EFFECTS OF THERMAL-ACCLIMATION AND SEASON ON METABOLIC COMPENSATION TO TEMPERATURE IN THE HYLID FROGS, PSEUDACRIS-TRISERIATA AND ACRIS-CREPITANS."" Comparative Biochemistry and Physiology a-Physiology 66(2): 243-249.",Complete
Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Acris crepitans,0.001100000,1.100000000,0.041392685,in situ,http://www.jstor.org/stable/30155478?seq=1#page_scan_tab_contents,f,w,a,Vermillion,42.0781111,42.0781111,-96.926944,1,7,0.84509804,MR,rest,5,25,0.04,,6,0.2,,6,0.08,,6,0.23,,6,2.236067977,2.397915762,1.397915762,0.145791563,-0.145791563,6,,,ul/g/h,,"Dunlap, D. G. (1980). ""COMPARATIVE EFFECTS OF THERMAL-ACCLIMATION AND SEASON ON METABOLIC COMPENSATION TO TEMPERATURE IN THE HYLID FROGS, PSEUDACRIS-TRISERIATA AND ACRIS-CREPITANS."" Comparative Biochemistry and Physiology a-Physiology 66(2): 243-249.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Desmognathus ochrophaeus,0.001090000,1.090000000,0.037426498,in situ,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,5,20,16.19,1.34,41,68.1,1.1,31,20.38,1.3,39,55.44,2,36,2.605754574,2.271874038,1.271874038,0.104785428,-0.104785428,36,1.480,,ul/g/h,,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Desmognathus ochrophaeus,0.001070000,1.070000000,0.029383778,in situ,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",t,w,a,NE Ohio,40.5,40.5,-82.5,1,21,1.322219295,MR,rest,5,10,16.19,1.34,41,21.88,1.3,21,25.57,2,38,29.39,1.8,25,1.826421193,3.295379795,2.295379795,0.361043717,-0.361043717,29,1.480,,ul/g/h,,"Fitzpatr.Lc, et al. (1971). ""THERMAL ACCLIMATION AND METABOLISM IN ALLEGHENY MOUNTAIN SALAMANDER DESMOGNATHUS-OCHROPHAEUS."" Comparative Biochemistry and Physiology 40(3A): 681-&.",Complete
Arthropoda,Malacaostraca,Amphipoda,Maeridae,Paraceradocus,gibber,Paraceradocus gibber,0.000930000,0.930000000,-0.031517051,in situ,"Peck et al 2010 Mar Biol 157, 2051-2060",m,w,a,"Andelaide Is, Antarctica",67.55,67.55,68.1,1,60,1.77815125,MR,rest,0.9,3,8.25,2.14,0,9.76,2.65,10,,,,14.93,4.07,10,2.226380434,16.85367316,15.85367316,1.200157294,-1.200157294,6.666666667,2.953,,,,"Peck et al 2010 Mar Biol 157, 2051-2060",Complete
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,Gadus morhua,0.000903000,0.903000000,-0.044312250,in situ,"Grabowski et al. 2009 Environ Biol Fish 86, 361-370",m,w,j,"Þistilfjörður, Iceland",66.6,66.6,15.8,1,76,1.880813592,MR,rest,4,12.6,19.695375,0.986901087,29,98.16425,3.139249017,30,5.62725,0.171231765,30,14.38075,0.456618039,30,6.473663404,0.693717877,0.306282123,-0.512462705,0.512462705,29.66666667,1.528,,STUDY CONFOUNDS TEMP AND WEIGHT,,"Grabowski et al. 2009 Environ Biol Fish 86, 361-370",Complete
Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,Gadus morhua,0.000903000,0.903000000,-0.044312250,in situ,"Grabowski et al. 2009 Environ Biol Fish 86, 361-370",m,w,j,"Selvogsbanki, Iceland",63.5,63.5,21.5,1,76,1.880813592,MR,rest,4,12.6,20.63325,2.075682471,12,57.523,13.44505593,10,6.87775,2.054781174,30,21.571125,0.970313332,30,3.29427867,1.053047242,0.053047242,-1.267226466,1.267226466,17.33333333,5.497,,STUDY CONFOUNDS TEMP AND WEIGHT,,"Grabowski et al. 2009 Environ Biol Fish 86, 361-371",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,Eurycea multiplicata,0.000840000,0.840000000,-0.075720714,in situ,"Brown, A. V. and L. C. Fitzpatrick (1981). ""THERMAL-ACCLIMATION AND METABOLISM IN THE GRAY-BELLIED SALAMANDER, EURYCEA-MULTIPLICATA-GRISEOGASTER (PLETHODONTIDAE)."" Comparative Biochemistry and Physiology a-Physiology 69(3): 505-509.",f,w,a,"Fayetteville, Arkansas",36.07638,36.07638,-94.16,1,14,1.146128036,MR,rest,20,25,46.5,1.13,15,75.2,1.79,15,54.7,1.97,15,76,1.56,15,2.615349751,2.671291479,1.671291479,0.223311977,-0.223311977,15,1.493,,confounded temp. and body mass,,"Brown, A. V. and L. C. Fitzpatrick (1981). ""THERMAL-ACCLIMATION AND METABOLISM IN THE GRAY-BELLIED SALAMANDER, EURYCEA-MULTIPLICATA-GRISEOGASTER (PLETHODONTIDAE)."" Comparative Biochemistry and Physiology a-Physiology 69(3): 505-509.",Complete
